   1017   1114
   1018   31114
   1019   1112
   1020   11114
   1021   11112
   1022   1116
   1023   21112
   1024   21114
   1025   11116
   1026   1118
   1040   3112
   1041   3114
   1042   13112
   1043   13114
   1044   23112
   1045   3116
   1046   13116
   1047   23114
   1048   3118
   1049   3312
   1050   3314
   1051   23314
   1052   13314
   1053   33314
   1054   13316
   1055   3334
   1101   -211
   1104   -213
   1111   -9000211
   1114   -20213
   1118   -215
   1122   -10213
   1126   -100213
   1130   -30213
   2001   2112
   2002   12112
   2003   1214
   2004   22112
   2005   32112
   2006   2116
   2007   12116
   2008   21214
   2009   42112
   2010   31214
   2011   41214
   2012   12118
   2013   52114
   2016   100012110
   2017   2114
   2018   32114
   2019   1212
   2020   12114
   2021   11212
   2022   1216
   2023   21212
   2024   22114
   2025   11216
   2026   2118
   2027   3122
   2028   13122
   2029   3124
   2030   23122
   2031   33122
   2032   13124
   2033   43122
   2034   53122
   2035   3126
   2036   13126
   2037   23124
   2038   3128
   2039   23126
   2040   3212
   2041   3214
   2042   13212
   2043   13214
   2044   23212
   2045   3216
   2046   13216
   2047   23214
   2048   3218
   2049   3322
   2050   3324
   2051   23324
   2052   13324
   2053   33324
   2054   13326
   2100   22
   2101   111
   2102   221
   2103   223
   2104   113
   2105   9000221
   2106   311
   2107   331
   2108   313
   2109   333
   2110   333
   2111   9000111
   2112   10221
   2113   20313
   2114   20113
   2115   20223
   2116   20333
   2117   315
   2118   115
   2119   225
   2120   335
   2121   10313
   2122   10113
   2123   10223
   2124   10333
   2125   100313
   2126   100113
   2127   100223
   2128   100333
   2129   30313
   2130   30113
   2131   30223
   2132   337
   3001   2212
   3002   12212
   3003   2124
   3004   22212
   3005   32212
   3006   2216
   3007   12216
   3008   22124
   3009   42212
   3010   32124
   3011   42124
   3012   12218
   3013   52214
   3016   100012210
   3017   2214
   3018   32214
   3019   2122
   3020   12214
   3021   12122
   3022   2126
   3023   22122
   3024   22214
   3025   12126
   3026   2218
   3040   3222
   3041   3224
   3042   13222
   3043   13224
   3044   23222
   3045   3226
   3046   13226
   3047   23224
   3048   3228
   3101   211
   3104   213
   3106   321
   3108   323
   3110   10321
   3111   9000211
   3113   20323
   3114   20213
   3117   325
   3118   215
   3121   10323
   3122   10213
   3125   100323
   3126   100213
   3129   30323
   3130   30213
   4017   2224
   4018   32224
   4019   2222
   4020   12224
   4021   12222
   4022   2226
   4023   22222
   4024   22224
   4025   12226
   4026   2228
   -3055   -3334
   -3054   -13316
   -3053   -33314
   -3052   -13314
   -3051   -23314
   -3050   -3314
   -3049   -3312
   -3048   -3118
   -3047   -23114
   -3046   -13116
   -3045   -3116
   -3044   -23112
   -3043   -13114
   -3042   -13112
   -3041   -3114
   -3040   -3112
   -3026   -1118
   -3025   -11116
   -3024   -21114
   -3023   -21112
   -3022   -1116
   -3021   -11112
   -3020   -11114
   -3019   -1112
   -3018   -31114
   -3017   -1114
   -2129   -30313
   -2125   -100313
   -2121   -10313
   -2117   -315
   -2113   -20313
   -2110   -10311
   -2108   -313
   -2106   -311
   -2055   -3334
   -2054   -13326
   -2053   -33324
   -2052   -13324
   -2051   -23324
   -2050   -3324
   -2049   -3322
   -2048   -3218
   -2047   -23214
   -2046   -13216
   -2045   -3216
   -2044   -23212
   -2043   -13214
   -2042   -13212
   -2041   -3214
   -2040   -3212
   -2039   -23126
   -2038   -3128
   -2037   -23124
   -2036   -13126
   -2035   -3126
   -2034   -53122
   -2033   -43122
   -2032   -13124
   -2031   -33122
   -2030   -23122
   -2029   -3124
   -2028   -13122
   -2027   -3122
   -2026   -2118
   -2025   -11216
   -2024   -22114
   -2023   -21212
   -2022   -1216
   -2021   -11212
   -2020   -12114
   -2019   -1212
   -2018   -32114
   -2017   -2114
   -2016   -100012110
   -2013   -52114
   -2012   -12118
   -2011   -41214
   -2010   -31214
   -2009   -42112
   -2008   -21214
   -2007   -12116
   -2006   -2116
   -2005   -32112
   -2004   -22112
   -2003   -1214
   -2002   -12112
   -2001   -2112
   -1129   -30323
   -1125   -100323
   -1121   -10323
   -1117   -325
   -1113   -20323
   -1110   -10321
   -1108   -323
   -1106   -321
   -1048   -3228
   -1047   -23224
   -1046   -13226
   -1045   -3226
   -1044   -23222
   -1043   -13224
   -1042   -13222
   -1041   -3224
   -1040   -3222
   -1026   -2218
   -1025   -12126
   -1024   -22214
   -1023   -22122
   -1022   -2126
   -1021   -12122
   -1020   -12214
   -1019   -2122
   -1018   -32214
   -1017   -2214
   -1016   -100012210
   -1013   -52214
   -1012   -12218
   -1011   -42124
   -1010   -32124
   -1009   -42212
   -1008   -22124
   -1007   -12216
   -1006   -2216
   -1005   -32212
   -1004   -22212
   -1003   -2124
   -1002   -12212
   -1001   -2212
   -26   -2228
   -25   -12226
   -24   -22224
   -23   -22222
   -22   -2226
   -21   -12222
   -20   -12224
   -19   -2222
   -18   -32224
   -17   -2224
