  0.10000000E+01  0.35080969E-13  0.19153733E-12  0.36500235E-12  0.46180992E+08
  0.19470453E+08  0.24221259E+07  0.25577996E+02  0.14381639E+02  0.35838969E+01
  0.20000000E+01  0.48413842E-13  0.21601483E-12  0.39005869E-12  0.33188528E+08
  0.14704631E+08  0.17946565E+07  0.20521841E+02  0.11926887E+02  0.29345753E+01
  0.30000000E+01  0.59861356E-13  0.23395222E-12  0.40828028E-12  0.26588021E+08
  0.12108282E+08  0.14583852E+07  0.17701701E+02  0.10478023E+02  0.25554802E+01
  0.40000000E+01  0.70143458E-13  0.24855997E-12  0.42305880E-12  0.22335643E+08
  0.10403014E+08  0.12401834E+07  0.15760016E+02  0.94695743E+01  0.22937617E+01
  0.50000000E+01  0.79563272E-13  0.26107022E-12  0.43568273E-12  0.19313694E+08
  0.91734242E+07  0.10845317E+07  0.14304343E+02  0.87078713E+01  0.20975832E+01
  0.60000000E+01  0.88295156E-13  0.27211042E-12  0.44680359E-12  0.17145000E+08
  0.82309991E+07  0.96680789E+06  0.13212429E+02  0.81007656E+01  0.19429032E+01
  0.70000000E+01  0.96455740E-13  0.28205072E-12  0.45680370E-12  0.15395557E+08
  0.74839655E+07  0.87411564E+06  0.12297626E+02  0.76028928E+01  0.18166460E+01
  0.80000000E+01  0.10412989E-12  0.29113062E-12  0.46592945E-12  0.14009360E+08
  0.68722853E+07  0.79894322E+06  0.11547905E+02  0.71827675E+01  0.17109407E+01
  0.90000000E+01  0.11138265E-12  0.29951534E-12  0.47435022E-12  0.12871584E+08
  0.63607758E+07  0.73657982E+06  0.10913876E+02  0.68217806E+01  0.16207060E+01
  0.10000000E+02  0.11826563E-12  0.30732433E-12  0.48218813E-12  0.11908163E+08
  0.59262213E+07  0.68389420E+06  0.10362253E+02  0.65074312E+01  0.15424709E+01
  0.11000000E+02  0.12482081E-12  0.31464717E-12  0.48953456E-12  0.11083132E+08
  0.55516913E+07  0.63872659E+06  0.98779315E+01  0.62302848E+01  0.14737857E+01
  0.12000000E+02  0.13108296E-12  0.32155297E-12  0.49645987E-12  0.10369740E+08
  0.52249916E+07  0.59952260E+06  0.94493713E+01  0.59834005E+01  0.14128457E+01
  0.13000000E+02  0.13708128E-12  0.32809630E-12  0.50301955E-12  0.97489841E+07
  0.49368920E+07  0.56516556E+06  0.90683982E+01  0.57613833E+01  0.13583390E+01
  0.14000000E+02  0.14284065E-12  0.33432115E-12  0.50925822E-12  0.92062897E+07
  0.46804860E+07  0.53476334E+06  0.87286571E+01  0.55601305E+01  0.13091783E+01
  0.15000000E+02  0.14838240E-12  0.34026352E-12  0.51521240E-12  0.87226674E+07
  0.44510225E+07  0.50764843E+06  0.84202283E+01  0.53768867E+01  0.12645415E+01
  0.16000000E+02  0.15372505E-12  0.34595333E-12  0.52091236E-12  0.82890172E+07
  0.42443180E+07  0.48330057E+06  0.81387877E+01  0.52091033E+01  0.12237778E+01
  0.17000000E+02  0.15888473E-12  0.35141570E-12  0.52638353E-12  0.78979630E+07
  0.40570351E+07  0.46130516E+06  0.78807536E+01  0.50547173E+01  0.11863603E+01
  0.18000000E+02  0.16387565E-12  0.35667200E-12  0.53164750E-12  0.75434706E+07
  0.38864729E+07  0.44132859E+06  0.76431401E+01  0.49120351E+01  0.11518584E+01
  0.19000000E+02  0.16871034E-12  0.36174055E-12  0.53672279E-12  0.72205939E+07
  0.37304203E+07  0.42309791E+06  0.74234587E+01  0.47796512E+01  0.11199147E+01
